[-0.2907406  -0.87579551  1.06712665  0.5814323   0.26987805 -0.60085126] -268.3039310958666
[-1.18455752 -0.41194564 -0.63844581 -2.05411036 -0.05134311 -0.77153627] -293.5932865571946
[-0.27809192 -1.84496604 -1.32310618  1.00199874  2.04581334 -0.56350914] -270.103500831233
[-0.83303333 -0.0348322   0.14152204 -1.16416471 -1.29944933 -0.07525402] -303.28304767776336
[-0.04505566 -1.07090819  0.0413721  -0.13058983  1.22712747 -0.44096733] -3.5386503599470274
[-0.74190665  0.30030126  0.29665619  0.77565937  0.43942603 -0.0556287 ] -3.4539316605725157
[-0.07995509 -0.65353587 -0.00159127  0.49904184  0.29123424 -0.08065863] -3.4718376161008857
[-0.55360599 -0.23240214 -0.10858289  0.88273213  0.61730898 -0.11786161] -2.1229823815589883
[-0.85269128 -0.29702807 -0.23185454  1.38664941  0.66228593 -0.12075027] -1.83253094619131
[-0.623184   -0.53050718  0.56163697  1.32680397  0.91983643  0.02147603] -2.4045624512488164
[-0.85187108  0.23599728  0.29381279  1.02346449  1.17232846 -0.08257447] -3.132804962367288
[-0.22657432 -0.7392745  -0.00538249  0.82944867  1.26843748 -0.11658632] -3.1721078633178132
[-0.18628761 -1.15794301 -0.06439167  0.63861249  1.33969488 -0.41266498] -3.243640295894216
[-0.30053786 -0.77985508  0.0180571   0.71201782  1.15308012 -0.27170101] -2.484839953176256
[-0.6276564  -0.07778667  0.21420742  0.70225403  0.62604079 -0.19659266] -2.385493989099423
[ 0.07237858 -1.1576531  -0.11152297  0.40116806  0.54005392 -0.26861058] -2.5917775577405826
[-0.93781013 -0.59252939  0.16154998  1.32984864  0.80388961 -0.17127275] -1.5235963079928556
[-1.47513162 -0.62066503  0.24848789  1.90908298  0.79764289 -0.15586569] -1.7919952716696532
[-1.01859287 -0.60158747  0.2068763   1.97812152  0.6088748  -0.05191671] -2.7019314219595834
[-0.78175486 -0.58707369  0.15444431  1.47728926  0.6965363  -0.10991263] -1.922844338622082
[-1.44692342  0.20272641  0.40420338  1.91045299  1.08050247 -0.01430718] -2.7055007439686807
[-0.30744692 -0.81755822  0.01740862  0.77848929  0.67516606 -0.20503473] -1.9447732109831093
[-1.07631001 -0.18763932  0.27440715  1.62176038  0.30817159  0.01100534] -4.0102023096490615
[-0.4944809  -0.63180114  0.08214461  0.93945346  0.94185299 -0.20102442] -1.825712271659167
[-0.71076283 -0.47075188 -0.42900351  0.87785739  0.54875412 -0.35633852] -1.622538280161236
[-0.73399256 -1.05446079 -0.2959776   1.56094178  0.81678755 -0.19151844] -1.2769727133154707
[-0.78716064 -1.54279785 -0.55107011  1.99028566  0.91216093 -0.18898133] -1.4027606537514745
[-1.19638393 -0.39365676 -0.20364087  1.74552402  0.81486944 -0.17857095] -1.5174910391414476
[-0.86028568 -0.55966898 -0.46003829  1.13613565  0.83294358 -0.29657916] -1.0994662847559202
[-0.89955109 -0.54596663 -0.76727959  0.96555884  0.90114722 -0.38991243] -0.9935889839562804
[-0.8049692  -0.93269413 -0.25221445  1.08641197  0.94681438 -0.37546224] -1.0202963089357464
[-1.26667568 -0.69821872 -0.67766663  1.58259409  0.66890112 -0.35333402] -1.2106493241072802
[-1.23569804 -0.93509026 -0.24940621  1.87910239  1.10204898 -0.19701842] -1.1695017632264848
[-1.10794671 -0.92749971 -0.97694509  1.61019572  0.94629995 -0.39066608] -0.8565764039641626
[-1.193015   -1.09498487 -1.54619262  1.75036927  1.01750512 -0.50036275] -1.1484110702267745
[-0.81989383 -1.30431999 -0.86952232  1.14941091  0.97913029 -0.45406626] -0.9045657789364565
[-1.31091895 -0.72680235 -0.96836716  1.19681619  1.03132643 -0.52863471] -0.74698156759484
[-1.59938215 -0.56297314 -1.30456194  1.01475339  1.13859587 -0.69719284] -1.0626014535848856
[-0.79298359 -1.09257231 -0.68357831  1.04657125  1.3000213  -0.42525269] -1.835104890113018
[-1.14825266 -0.79680711 -0.67914455  1.44858838  0.82668116 -0.37131369] -0.8298180962175044
[-0.79481278 -0.80960638 -1.25508484  0.60655828  0.77508416 -0.63966671] -0.9848324658678579
[-1.22215614 -0.77097326 -1.58656674  1.23929747  0.87307536 -0.54929106] -1.026867033783285
[-0.90926594 -0.89226391 -0.58580252  1.12463334  0.92837962 -0.41891944] -0.8190081137349574
[-1.13081253 -1.27313319 -1.01100924  1.41317543  0.92781999 -0.54450987] -0.6889107171720044
[-1.24644325 -1.63671647 -1.13287406  1.63698373  0.94115638 -0.62180859] -0.8760894145571929
[-1.34755076 -1.16400238 -0.44184545  2.04104838  1.10479499 -0.26303663] -1.0840366078335093
[-0.93299727 -0.89820538 -1.05177499  0.9651808   0.85751187 -0.54550919] -0.7612381081205549
[-1.36017085 -0.53391723 -0.88815886  1.43678572  0.86020939 -0.47911806] -0.8351385274078731
[-1.15619269 -0.77954335 -0.75114069  0.91819756  0.86434287 -0.57200224] -0.5737215670226079
[-1.18031569 -0.70556517 -0.63823848  0.57219848  0.82336433 -0.66267032] -0.5429599821772179
[-0.84401683 -1.23034181 -0.75662012  0.80341183  0.93815175 -0.54473434] -0.7821633868551099
[-0.95452308 -1.11196349 -0.99145962  0.57655032  1.00883684 -0.7103456 ] -0.7742839280856031
[-1.20859551 -1.08973988 -1.22002069  0.71781101  0.93395745 -0.7598819 ] -0.565640777505577
[-1.39537085 -0.70479468 -1.20366994  1.01049892  0.92278722 -0.70578286] -0.620497500665361
[-1.43181386 -0.68745006 -1.03956721  1.38200996  0.82341893 -0.53865068] -0.749449615595253
[-1.61961186 -0.8309564  -0.97518258  1.13232253  0.96337958 -0.70120092] -0.4699601446797502
[-1.96291915 -0.79733191 -0.93688638  1.21589339  1.01631343 -0.77904678] -0.5412051360734481
[-1.1833946  -1.08954716 -0.96592882  0.63226422  1.04412607 -0.76224284] -0.6088726874557113
[-1.2617814  -1.17110981 -1.03631609  0.62927401  0.84048511 -0.85012819] -0.4001365480619258
[-1.23721262 -1.39326354 -1.07029055  0.34550292  0.74506445 -1.01087494] -0.5749989508714441
[-1.48554411 -0.59077118 -1.00210963  0.15161429  0.91487993 -0.93612581] -0.4806374966835474
[-1.25104354 -1.12110185 -0.74226215  0.26799593  0.91727694 -0.8516338 ] -0.35231942102158004
[-1.17887988 -1.32925544 -0.51155826 -0.10325557  0.9145218  -0.92455928] -0.4767615137754433
[-1.48556943 -0.7468676  -0.90544772  0.52480786  0.75365504 -0.82497081] -0.4257871251852654
[-1.55269316 -0.63238412 -0.5464982   0.37492669  0.80372286 -0.84902805] -0.37888953634751477
[-1.70509881 -0.99216515 -1.09770031  0.45478195  0.90776882 -1.00835887] -0.2619598210134396
[-1.96749037 -1.13546514 -1.32743122  0.39607368  0.94997107 -1.18120315] -0.396598718533463
[-1.47305529 -1.24075713 -0.76569272  0.97642203  0.81388286 -0.75898107] -0.33292745329312357
[-1.29013535 -1.13717216 -0.72278981 -0.05625304  0.71555097 -1.01316602] -0.6225807129233346
[-1.53724273 -0.90751034 -0.91208439  0.83517863  0.90142243 -0.77919219] -0.31835759081586706
[-1.44140221 -1.27480854 -0.7947369   0.65471855  0.9745313  -0.87413659] -0.27061616493716945
[-1.72506385 -0.88513257 -0.58334213  0.55873392  0.93238329 -0.856982  ] -0.1788441625885814
[-1.95670507 -0.74214395 -0.35685516  0.52346388  0.97833238 -0.8604089 ] -0.23712042571009756
[-1.49160898 -1.50810774 -1.08544134  0.87435032  1.01203235 -0.86073346] -0.46656618962779617
[-1.53742211 -0.85131503 -0.68123398  0.4997826   0.85580024 -0.8519544 ] -0.24734133395806962
[-1.88871813 -0.92946107 -0.86933466  1.0585433   0.87798604 -0.85823457] -0.33995518179242773
[-1.72929948 -0.97737126 -0.83756653  0.86090646  0.88780876 -0.85658438] -0.2411371421507918
[-1.75212111 -0.7220105  -0.86986203  0.31161201  1.00602209 -0.98342174] -0.29757163323320157
[-1.75955979 -0.99342401 -0.70939624  0.27833319  0.95334908 -1.03128713] -0.11885356584916784
[-1.87071832e+00 -1.03638084e+00 -6.08052162e-01 -8.95268681e-05
  9.79312400e-01 -1.15733461e+00] -0.10234951492817154
[-1.58421382 -1.28371397 -0.66434864  0.69799931  0.83984618 -0.88502854] -0.20442105417308132
[-1.94253659 -0.73388441 -0.69601102  0.36931968  0.82644193 -0.99794434] -0.2573817061928955
[-1.75798592 -0.93043421 -0.25915118  0.54076886  0.86609544 -0.86025055] -0.2107185443046753
[-1.45903125 -1.25423155 -0.51522052  0.68338086  0.96064017 -0.82476715] -0.24880920460865702
[-1.57990758 -1.12414477 -0.56041815  0.60486556  0.92709061 -0.86806145] -0.1689491071940751
[-1.87830754 -1.22774418 -0.48972562  0.5879456   0.95504533 -0.97612611] -0.09486687966444163
[-2.04875026 -1.41595875 -0.39397144  0.6320271   1.00466788 -1.03821196] -0.13937337648387385
[-1.73609953 -1.18514558 -0.2174461   0.13583479  0.94544899 -1.01134337] -0.14863233807380935
[-1.70011763 -1.31698643 -0.78195975  0.32099435  0.99361349 -1.05804147] -0.13742973603799452
[-1.91252433 -0.97479749 -0.41596599  0.03809559  1.07111852 -1.09093446] -0.12408090270705682
[-1.83416113 -1.40326719 -0.44118046  0.00381487  1.02482649 -1.19696516] -0.11543971205565777
[-2.06406858 -1.2572958  -0.42435854 -0.24266701  1.06269779 -1.29552028] -0.11917958893397718
[-2.01719965 -1.22034506 -0.83630141  0.10019651  1.08342235 -1.24696399] -0.14516034072961956
[-1.94692462 -1.21154519 -0.68158758  0.10910608  1.04892901 -1.18805883] -0.0848839289920538
[-2.13545055 -1.05335714 -0.23833037 -0.15559249  1.05369636 -1.24360501] -0.12313414365117037
[-1.99735259 -1.42173263 -0.54511225  0.06274359  0.97038394 -1.26160221] -0.1356756532573865
[-1.9337314  -1.08653127 -0.44825256  0.04425759  1.04593488 -1.13360139] -0.0764977430498208
[-1.70718665 -1.35423102 -0.79272194  0.32304835  0.98521894 -1.07226379] -0.1399021984763592
[-2.02838457 -1.12857561 -0.37692826 -0.03593228  1.036577   -1.2007697 ] -0.07470276955577136
[-1.76667395 -1.10738563 -0.59088367  0.47903445  0.96751058 -0.98876499] -0.10333114921601658
[-1.97408567 -0.86278705 -0.62396283  0.3909591   0.98627658 -1.01792005] -0.13701372718422017
[-1.86914227 -1.26814716 -0.48687605  0.10060093  1.01518901 -1.15220388] -0.07258381999632213
[-2.07572896 -1.21225579 -0.43959041 -0.21040499  1.0594853  -1.28059985] -0.10398204764809867
[-1.8439377  -1.13360317 -0.55306035  0.30667459  0.99050426 -1.06172371] -0.07333860790474445
[-1.96275771 -1.31566802 -0.40409131  0.3709737   1.0514141  -1.08015994] -0.0937985981397498
[-1.98331855 -1.15361263 -0.49387309 -0.2893854   1.10780409 -1.29604638] -0.13248124158495622
[-1.90456029 -1.20921129 -0.49076249  0.36861285  0.99323502 -1.05610617] -0.06501210792767316
[-1.87946924 -1.03020321 -0.60839778 -0.07320044  0.9920423  -1.18399463] -0.11528378001769027
[-1.94193559 -1.24430181 -0.45516793  0.25993016  1.03657115 -1.10611861] -0.06702319104006894
[-1.89363932 -1.14524491 -0.2554283   0.23894187  0.99040809 -1.04878232] -0.09270863794248506
[-1.9336033  -1.19497012 -0.57504776  0.14156503  1.03429878 -1.15323971] -0.06562592003905883
[-1.90678985 -1.30640511 -0.53102839  0.33622617  0.98952353 -1.10978586] -0.06862536498390875
[-1.77160509 -1.32363728 -0.6537194   0.54046885  0.98319691 -1.01228961] -0.11868337506286768
[-1.9641897  -1.17734103 -0.44612604  0.10816801  1.02323198 -1.15364968] -0.058497566779135826
[-1.99613597 -1.33318901 -0.44194253  0.13169312  1.0401789  -1.1819776 ] -0.06614508499405751
[-2.01326263 -1.22032564 -0.493149    0.34813085  1.02382411 -1.101422  ] -0.06430631438960505
[-2.01110598 -1.15337452 -0.43637019  0.11647384  1.06092311 -1.14105206] -0.06369013302111562
[-1.99901703 -1.18516872 -0.50596474  0.14495107  1.02199282 -1.1563638 ] -0.05307816911471791
[-2.02755775 -1.15560217 -0.53136315  0.08746152  1.01470366 -1.18148639] -0.057426342646253466
[-1.94577701 -1.04694143 -0.54053088  0.27760742  1.01232304 -1.07196687] -0.07530955585877802
[-1.98354623 -1.26162711 -0.46658962  0.1681717   1.03321494 -1.15447492] -0.05721633043760799
[-2.02495733 -1.20737931 -0.37127293  0.27660441  1.01784188 -1.1011165 ] -0.05938643334403982
[-2.09413267 -1.19252748 -0.41572836  0.01888711  1.06710793 -1.21325347] -0.06284423221874694
[-2.01238702 -1.17214709 -0.38753497 -0.07037881  1.05094678 -1.20521481] -0.07409995679477295
[-2.01304373 -1.208281   -0.46674549  0.24350344  1.03060478 -1.1273702 ] -0.056145959193463345
[-2.01518958 -1.25740036 -0.45443887  0.20362141  1.00374166 -1.16102413] -0.05623709673736641
[-1.90584853 -1.23987169 -0.48798421  0.36278624  0.97643476 -1.07141293] -0.06295556432605051
[-2.04706164 -1.20436354 -0.43379232  0.10486189  1.04443963 -1.17779334] -0.05560706232196614
[-1.98239198 -1.22401461 -0.55327943  0.04782142  1.03456672 -1.20910885] -0.0669348563395346
[-2.01431599 -1.21153814 -0.41677456  0.21940866  1.02202309 -1.12811459] -0.054086908205594246
[-2.05986836 -1.26545193 -0.46864249  0.25333805  1.02877366 -1.14806398] -0.0568085456177989
[-2.06595255 -1.18244078 -0.4488632   0.22172314  1.01731028 -1.14510176] -0.05272294959986806
[-2.10715571 -1.14284762 -0.44        0.24849886  1.00935795 -1.14041518] -0.057314468941055734
[-1.99165848 -1.15094558 -0.44021724  0.12601849  1.01793043 -1.15052529] -0.05648915672711635
[-2.00871095 -1.17957217 -0.44732355  0.15784838  1.02064124 -1.14990996] -0.053300972367971725
[-2.03417771 -1.13305441 -0.45204909  0.16047745  1.04859562 -1.13386042] -0.059783249282957446
[-2.01993661 -1.22631388 -0.45384142  0.19283542  1.01495515 -1.1542332 ] -0.052950097813683865
[-2.0386212  -1.18818474 -0.43544111  0.10370608  1.01651596 -1.17646868] -0.05534555305619922
[-2.00178981 -1.18670927 -0.46894388  0.24196236  0.99337321 -1.12560399] -0.05206952020729834
[-1.97915389 -1.17788214 -0.48651965  0.3105126   0.96784    -1.09950932] -0.0565447203099341
[-1.99795312 -1.20239624 -0.47846268  0.28920359  1.01358263 -1.10997375] -0.05550880876813835
[-2.02845418 -1.19173762 -0.4461965   0.15008046  1.01578263 -1.15984495] -0.05248871191244176
[-2.02697105 -1.17244268 -0.50693654  0.15039161  1.00599535 -1.16890463] -0.05450584730063768
[-2.01747976 -1.20176427 -0.43931505  0.2021544   1.01801616 -1.1383121 ] -0.052196486185570753
[-2.03549903 -1.21180601 -0.47371805  0.22672057  1.00650218 -1.1432433 ] -0.051371943327599215
[-2.04889307 -1.22792293 -0.4869153   0.26115667  0.99943265 -1.13990997] -0.05301954424979542
[-2.05735361 -1.21508856 -0.40432796  0.26687438  0.99998704 -1.13241597] -0.056351695404288034
[-2.01360118 -1.19264868 -0.48055555  0.1754319   1.01649138 -1.15037684] -0.05150230943577003
[-2.03432222 -1.16272167 -0.46535599  0.21318886  1.00753679 -1.13326111] -0.05096622279067206
[-2.04151502 -1.13092556 -0.47111327  0.22336558  1.00382762 -1.12277507] -0.052063499588641704
[-1.97776284 -1.20002172 -0.4758318   0.18145638  1.00192384 -1.13844567] -0.05225656590546165
[-1.9983641  -1.19348626 -0.48837694  0.2635577   0.99883189 -1.11656939] -0.05160345915339745
[-2.05592252 -1.18302366 -0.46292335  0.25954888  1.01166003 -1.13067657] -0.053068802658728
[-1.99730276 -1.19577221 -0.47260469  0.2009795   1.00435789 -1.1365034 ] -0.051161427845284324
[-2.00947994 -1.17928376 -0.51053664  0.23845923  0.99101496 -1.13020725] -0.05183427880126188
[-2.02773327 -1.19186359 -0.49477207  0.19748356  1.01487182 -1.14444977] -0.05038732470425505
[-2.040705   -1.19444074 -0.50768617  0.17524416  1.02562112 -1.15387266] -0.0509323464491068
[-2.02612758 -1.20348238 -0.44792445  0.18732813  1.02518236 -1.14459403] -0.05192405952990821
[-2.01364185 -1.18533341 -0.49488359  0.22567646  0.99955681 -1.13380394] -0.050917488834367745
[-2.042336   -1.18656226 -0.47225304  0.14960259  1.01760706 -1.16397673] -0.051639589609984896
[-2.00935707 -1.19175526 -0.48434596  0.23506892  1.00352568 -1.12842123] -0.05086138502452793
[-2.02568422 -1.18710203 -0.4813379   0.25760739  0.99562568 -1.12285074] -0.05101317276518064
[-2.00051477 -1.15971004 -0.49071535  0.21661432  1.00198937 -1.12318676] -0.05087755882925789
[-2.0397817  -1.16372313 -0.4978656   0.247567    1.00334416 -1.12548779] -0.051289789348498746
[-2.0079225  -1.18775994 -0.47891992  0.21262638  1.00410445 -1.1337495 ] -0.05062407134244976
[-2.00547967 -1.1726126  -0.48832639  0.17594544  1.01490263 -1.14277336] -0.05153034101611718
[-2.02063308 -1.18347968 -0.48308502  0.2371919   1.00044492 -1.1278314 ] -0.05055212442858848
[-1.99227863 -1.20391231 -0.51021799  0.22836499  1.00062756 -1.13055308] -0.0511751474910887
[-2.02381132 -1.17301933 -0.47657149  0.21698289  1.00580948 -1.13258411] -0.05057437474801756
[-2.01634882 -1.17719586 -0.47458635  0.21297954  1.01069177 -1.12960364] -0.05032365505017585
[-2.0177023  -1.17312709 -0.46443772  0.20663108  1.01625925 -1.1275035 ] -0.0506189028600693
[-2.03475392 -1.20864784 -0.47337825  0.22083007  1.01116    -1.14235979] -0.05095154274553218
[-2.00907455 -1.17194449 -0.48638108  0.21766826  1.00428203 -1.12798002] -0.05049006969556332
[-2.02581744 -1.16999904 -0.48042601  0.19657526  1.00987581 -1.13697825] -0.050091794022398356
[-2.03404762 -1.15912093 -0.47846604  0.17732843  1.01305087 -1.14125676] -0.05017375316407894
[-2.033217   -1.16807406 -0.48635409  0.21366742  1.01122082 -1.13272623] -0.05024917803570714
[-2.0204634  -1.18116624 -0.49196339  0.20820576  1.01131957 -1.133939  ] -0.049902119970240244
[-2.01878944 -1.1852397  -0.49965934  0.20381719  1.01407461 -1.13461644] -0.0497770781090591
[-2.02302709 -1.17129257 -0.49097462  0.17687184  1.02122737 -1.14095339] -0.05053051014873452
[-2.02242859 -1.17433935 -0.48900222  0.19195185  1.01603176 -1.13767289] -0.05018129250273918
[-2.03903696 -1.18362604 -0.48855228  0.18782335  1.02130683 -1.14403573] -0.0500347001272827
[-2.02414615 -1.1609611  -0.47808802  0.20478798  1.01286205 -1.12742796] -0.05000444488506735
[-2.03812971 -1.17021723 -0.49944098  0.18656148  1.01776552 -1.14154886] -0.04988669807590668
[-2.0228991  -1.18005343 -0.49203553  0.17683828  1.01941804 -1.14136714] -0.04975712802367163
[-2.01774015 -1.18604311 -0.49487625  0.1584237   1.02351665 -1.1456876 ] -0.04997457318450822
[-2.03384434 -1.17569283 -0.4903985   0.19351599  1.01573586 -1.1376519 ] -0.04937393298399669
[-2.03955222 -1.17636957 -0.49109664  0.19429805  1.01558792 -1.13764141] -0.049032908595585865
[-2.03503375 -1.18215665 -0.50253158  0.18813352  1.02379585 -1.1385676 ] -0.04967611368157665
[-2.02047983 -1.16803986 -0.49906508  0.19698882  1.0131945  -1.12968741] -0.049222099441876305
[-2.03414853 -1.19306438 -0.51652169  0.17742447  1.0217501  -1.14704833] -0.04973699304148922
[-2.01883792 -1.19142397 -0.50086231  0.19260529  1.01817482 -1.13476059] -0.04909591120923614
[-2.03819434 -1.17846292 -0.50104494  0.17161229  1.02323246 -1.14174105] -0.048902735593668645
[-2.0478968  -1.17507452 -0.50173774  0.15550983  1.02781139 -1.14530335] -0.04870218691438526
[-2.04241725 -1.18198956 -0.51190282  0.19148172  1.02068682 -1.13630242] -0.04865449695617933
[-2.05217633 -1.18295762 -0.52183647  0.19880344  1.0213212  -1.13377005] -0.048536760043131795
[-2.03717708 -1.16560968 -0.48918825  0.19802185  1.01821179 -1.12619514] -0.0484657987724018
[-2.03869136 -1.15188233 -0.47552153  0.20832054  1.01644264 -1.11576855] -0.04869464072025642
[-2.03700631 -1.17100175 -0.49873058  0.19060891  1.01430469 -1.13055172] -0.04771249149718465
[-2.03799258 -1.1654243  -0.49683007  0.19184661  1.00955911 -1.12654378] -0.04706435540677953
[-2.05739782 -1.1842467  -0.50145208  0.18003954  1.02369424 -1.13838403] -0.04750535189732424
[-2.07189302 -1.15847016 -0.49985144  0.18023448  1.02055373 -1.13451867] -0.04772161902724753
[-2.06195899 -1.16755809 -0.51253538  0.17385387  1.02479591 -1.13059693] -0.046761996741820216
[-2.07316237 -1.16315235 -0.52325475  0.16363178  1.0293999  -1.1270747 ] -0.04620784243984686
[-2.06203627 -1.16487909 -0.50906661  0.2153494   1.01310194 -1.11685877] -0.04666377003614518
[-2.06104338 -1.15096981 -0.48471127  0.17757112  1.01685237 -1.12275498] -0.04603733020809665
[-2.06547691 -1.1349759  -0.46614867  0.16695496  1.01461795 -1.11724744] -0.045900184429661574
[-2.08547591 -1.15810649 -0.50967962  0.16799707  1.01876383 -1.12734732] -0.04498890437759787
[-2.10962532 -1.1543549  -0.51992531  0.15298468  1.01903986 -1.12792341] -0.044453251445878486
[-2.0633374  -1.16387425 -0.50570772  0.17670117  1.01591727 -1.11682538] -0.043538030603839394
[-2.05905959 -1.16657629 -0.50863587  0.17493452  1.01359903 -1.10797873] -0.04163662957500512
[-2.07838653 -1.13220758 -0.50650168  0.17519444  1.00941169 -1.10282491] -0.043232835710927876
[-2.11125642 -1.13995773 -0.51434755  0.15783665  1.02349768 -1.10675887] -0.04255284234233196
[-2.10361944 -1.13219583 -0.50387133  0.11516294  1.02342009 -1.11307725] -0.04117845851478713
[-2.12441102 -1.1158542  -0.50127369  0.06506971  1.02857917 -1.11118648] -0.04030401078159045
[-2.10957623 -1.11815651 -0.48235617  0.13402654  1.00684856 -1.09756525] -0.04108052455520753
[-2.13196146 -1.1407265  -0.54486476  0.11972722  1.01904071 -1.10083178] -0.039746852096125045
[-2.16520374 -1.14360181 -0.5842228   0.09611335  1.02125209 -1.09262395] -0.041092463195043935
[-2.09525843 -1.11680471 -0.49940126  0.12261167  1.01461909 -1.08112526] -0.037822980202339554
[-2.08807498 -1.09802962 -0.48913924  0.10742517  1.01240871 -1.05772619] -0.03647907190718935
[-2.1297267  -1.12755937 -0.50703741  0.07781216  1.02524627 -1.09119085] -0.03568498683267877
[-2.15539679 -1.12523527 -0.50730528  0.02912102  1.03316356 -1.08537383] -0.03320546110385473
[-2.11157027 -1.11490173 -0.49684411  0.05226475  1.01438223 -1.08012855] -0.03479751242360917
[-2.18127066 -1.07105832 -0.49862522 -0.00572305  1.02454195 -1.0696253 ] -0.03910546142004722
[-2.15465217 -1.1037787  -0.53032793 -0.01139827  1.03719022 -1.07072545] -0.033616614632968125
[-2.14989775 -1.10205585 -0.52109516  0.03206924  1.01832995 -1.04361721] -0.030716284692723275
[-2.16264112 -1.09515667 -0.53100589  0.015569    1.01320534 -1.00983258] -0.028278004450806696
[-2.15257387 -1.0619936  -0.47288446 -0.05730768  1.02592329 -1.02363885] -0.033233850008792115
[-2.09369907 -1.12864021 -0.51054375  0.05094771  1.0208825  -1.03951652] -0.027570945266630117
[-2.04991327 -1.15743116 -0.51650302  0.07928309  1.01905278 -1.02446213] -0.02685050002038844
[-2.17417418 -1.12146943 -0.52915099 -0.07158119  1.03523043 -1.04032761] -0.026185228728846526
[-2.21722378 -1.13318934 -0.54915687 -0.16108438  1.04664129 -1.03162832] -0.027582368998079875
[-2.17154686 -1.10678655 -0.53221507 -0.05770276  1.04020631 -1.00465827] -0.02379684918911274
[-2.20153515 -1.10272896 -0.54990055 -0.11268651  1.05311834 -0.96692313] -0.022534365772983816
[-2.14409262 -1.11755967 -0.50525547 -0.02780249  1.0227077  -0.97946059] -0.019539978838021006
[-2.13881285 -1.12445015 -0.49271925 -0.0360046   1.01546644 -0.93382815] -0.016220082058052747
[-2.14158392 -1.18016361 -0.56931053  0.02520795  1.030489   -0.99661029] -0.0192922746885445
[-2.13415671 -1.13523139 -0.55555813 -0.0625251   1.02235723 -0.90528747] -0.016350155976084246
[-2.11741758 -1.17866823 -0.5400416  -0.07500446  1.04536606 -0.94598035] -0.01347260233853952
[-2.09480581 -1.220424   -0.54455946 -0.12029119  1.06144642 -0.91405423] -0.014743512235902787
[-2.25264686 -1.12347276 -0.56239066 -0.19014773  1.04828972 -0.90519021] -0.01922262030676792
[-2.15454351 -1.16010226 -0.56082258 -0.07880562  1.03646517 -0.84427893] -0.01559589665998375
[-2.11151865 -1.19796718 -0.5437137  -0.02640668  1.0130262  -0.87680201] -0.011472183329737947
[-2.0665104  -1.24558629 -0.54062027  0.01673324  0.99298013 -0.83174144] -0.016836972820775
[-2.16144813 -1.12646704 -0.51577144 -0.18150601  1.0298346  -0.80717874] -0.018780474796689282
[-2.01998562 -1.18415599 -0.50715157  0.03673024  1.00588218 -0.86592834] -0.022868184090225195
[-2.19448155 -1.13864357 -0.54858089 -0.13342823  1.03768784 -0.89537474] -0.013726717333005152
[-2.12219548 -1.18522055 -0.56470727  0.04411445  1.02695504 -0.99333847] -0.01930071676495733
[-2.15163497 -1.14115542 -0.5280054  -0.1251009   1.02911471 -0.85371868] -0.013987052942816344
[-2.15531299 -1.17843088 -0.51573634 -0.09572505  1.03668492 -0.87804014] -0.008521656537734651
[-2.16589113 -1.20003062 -0.49582545 -0.11232503  1.04384876 -0.86441648] -0.00604152416991646
[-2.15968295 -1.21440561 -0.57961063 -0.14768571  1.05303647 -0.82636224] -0.013133351100687378
[-2.14566543 -1.19685461 -0.51776997 -0.12784472  1.03756151 -0.90993924] -0.007473849019026622
[-2.14658413 -1.23436785 -0.54717535 -0.08246404  1.04772757 -0.91923967] -0.007868643319463091
[-2.08777174 -1.2687878  -0.52613134 -0.05714864  1.04250102 -0.88553858] -0.01166301793655972
[-2.15495377 -1.25880299 -0.53003388 -0.10962048  1.03386778 -0.81478572] -0.007728615133950704
[-2.11111201 -1.23786474 -0.47393927 -0.02425082  1.01980781 -0.930545  ] -0.008463294771971249
[-2.1908033  -1.17317487 -0.5100212  -0.10382195  1.02277886 -0.88637079] -0.008909626700584941
[-2.1934846  -1.23573138 -0.48120801 -0.160369    1.05550456 -0.89829696] -0.002179681221526574
[-2.23446758 -1.25461349 -0.44995516 -0.22735017  1.07674375 -0.90904444] -0.001466947094459611
[-2.12875472 -1.2876699  -0.4948785  -0.1241298   1.06374021 -0.89628606] -0.0075009142407472945
[-2.21432691 -1.23958175 -0.53794017 -0.23699393  1.08135538 -0.84069221] -0.006207528355916969
[-2.20143572 -1.2448166  -0.4616257  -0.23029066  1.06464489 -0.82581504] -0.003312572781388771
[-2.20856007 -1.21571933 -0.45596444 -0.24335762  1.08876372 -0.93394543] -0.005941331819917069
[-2.2613609  -1.1628689  -0.47814847 -0.2685909   1.06723247 -0.86499822] -0.009082419602719981
[-2.16190626 -1.25646965 -0.49069599 -0.16024508  1.06461327 -0.8884641 ] -0.003907206114318492
[-2.24986379 -1.27355587 -0.44623233 -0.27567611  1.10242841 -0.84418667] -0.0022568552332439895
[-2.19304794 -1.24215343 -0.39549286 -0.17942096  1.06565889 -0.91459851] -0.004808789932664593
[-2.25053599 -1.2957455  -0.40416337 -0.32645517  1.11043555 -0.90760158] -0.005020892670989641
[-2.22185903 -1.30673219 -0.42675736 -0.22312177  1.07274453 -0.82929135] -0.0024379151576736507
[-2.17032412 -1.23036824 -0.48608976 -0.10557974  1.03850903 -0.82953179] -0.005481312618563005
[-2.23048302 -1.27940119 -0.42464497 -0.27123632  1.09245392 -0.88808413] -0.002128298326539219
[-2.24029053 -1.29637623 -0.50447765 -0.28321907  1.09221737 -0.81369673] -0.004078604345373592
[-2.22847988 -1.28282053 -0.47723145 -0.25726954  1.08557775 -0.83892218] -0.0018039031944557138
